DATE_TIME,current_contract,next_contract,carry_contract
2022-09-28 23:00:00,20221000,20221100,20221100
2022-10-17 23:00:00,20221100,20221200,20221200
2022-11-15 23:00:00,20221200,20230100,20230100
2022-12-16 23:00:00,20230100,20230200,20230200
2023-01-18 23:00:00,20230200,20230300,20230300
2023-02-13 23:00:00,20230300,20230400,20230400
2023-03-16 23:00:00,20230400,20230500,20230500
2023-04-14 23:00:00,20230500,20230600,20230600
2023-05-16 23:00:00,20230600,20230700,20230700
2023-06-15 23:00:00,20230700,20230800,20230800
2023-07-17 23:00:00,20230800,20230900,20230900
2023-08-16 23:00:00,20230900,20231000,20231000
2023-09-15 23:00:00,20231000,20231100,20231100
2023-09-27 23:00:00,20231100,20231200,20231200
